,open,high,low,close,volume
20170627,6390,6780,6340,6340,213033
20170626,6140,6370,6120,6350,93271
20170623,6030,6170,6030,6140,82315
20170622,6250,6300,6030,6080,91874
20170621,6370,6430,6190,6250,99608
20170620,6490,6540,6320,6370,50429
20170619,6360,6590,6340,6480,69080
20170616,6540,6560,6370,6390,73678
20170615,6480,6620,6480,6530,68993
20170614,6490,6570,6440,6510,36515
20170613,6460,6600,6420,6480,103437
20170612,6360,6610,6330,6420,127380
20170609,6300,6400,6250,6380,65010
20170608,6400,6430,6260,6270,137368
20170607,6510,6550,6400,6430,68790
20170605,6610,6850,6500,6500,209451
20170602,6370,6560,6330,6550,134772
20170601,6370,6410,6310,6370,45702
20170531,6370,6450,6260,6370,47550
20170530,6310,6420,6290,6400,70451
20170529,6450,6520,6300,6310,76726
20170526,6460,6530,6450,6460,61908
20170525,6390,6610,6390,6460,119012
20170524,6420,6530,6400,6400,113947
20170523,6260,6420,6250,6370,77679
20170522,6290,6340,6200,6230,69703
20170519,6200,6350,6200,6280,70685
20170518,6310,6390,6190,6230,152962
20170517,6450,6510,6360,6410,113957
20170516,6680,6750,6450,6450,157982
20170515,6770,6820,6570,6700,73593
20170512,6850,6900,6440,6820,124446
20170511,7000,7100,6880,6880,89623
20170510,6990,7100,6870,7020,130098
20170508,6840,7040,6840,6970,108980
20170504,6630,6930,6530,6890,136805
20170502,6910,6960,6700,6700,175019
20170428,6990,7050,6930,6950,97768
20170427,7090,7140,6990,7010,78936
20170426,7250,7300,7060,7120,195610
20170425,6950,7150,6950,7140,133405
20170424,7060,7110,6920,6950,177376
20170421,7140,7190,7010,7150,123789
20170420,7210,7260,7020,7190,188417
20170419,7200,7370,7200,7280,113366
20170418,7270,7350,7150,7270,91770
20170417,7060,7440,7060,7270,183596
20170414,7190,7300,6900,7050,144719
20170413,7100,7270,7060,7200,90435
20170412,6950,7180,6800,7160,220436
20170411,6950,7120,6680,6950,327645
20170410,7370,7480,7000,7000,337603
20170407,7470,7620,7240,7480,300457
20170406,7780,7780,7430,7470,258004
20170405,7810,7910,7590,7680,400166
20170404,8370,8450,7780,7820,461730
20170403,8410,8410,8270,8310,162699
20170331,8410,8460,8240,8370,314816
20170330,8040,8530,7820,8400,964446
20170329,8170,8170,7950,8080,102217
20170328,8100,8240,8010,8100,195247
20170327,7850,8110,7800,7970,218654
20170324,7750,7860,7750,7830,60544
20170323,7910,7920,7730,7780,108334
20170322,7900,8080,7770,7840,172115
20170321,8210,8330,8030,8030,159460
20170320,8550,8550,8180,8200,213354
20170317,8700,8730,8470,8510,187394
20170316,8540,8960,8450,8650,685699
20170315,8760,8770,8420,8450,335610
